Protein IDs,Majority protein IDs,Peptide counts (unique),Fasta headers,Mol. weight [kDa],Intensity,B1.1_1,B1.1_2,B1.1_3,CT_1,B0.3_1,B0.3_2,B0.3_3,B1.1_4,CT_2,CT_3,B0.3_4,B0.3_5,CT_4,CT_5,B1.1_5 
E1BE98,E1BE98,2,tr|E1BE98|E1BE98_BOVIN Exportin 1 OS=Bos taurus OX=9913 GN=XPO1 PE=3 SV=2,123.14,3585500,0,0,0,3409200,0,0,0,0,0,0,0,0,0,0,0
A0A3Q1LSR0;A6QP83,A0A3Q1LSR0;A6QP83,2;2,tr|A0A3Q1LSR0|A0A3Q1LSR0_BOVIN Far upstream element binding protein 3 OS=Bos taurus OX=9913 GN=FUBP3 PE=4 SV=1;tr|A6QP83|A6QP83_BOVIN FUBP3 protein OS=Bos taurus OX=9913 GN=FUBP3 PE=2 SV=1,60.682,10652000,0,0,0,3460800,0,0,0,0,0,0,0,0,0,0,0
A0A452DIW0;F1MJM0,A0A452DIW0;F1MJM0,2;2,tr|A0A452DIW0|A0A452DIW0_BOVIN DBIRD complex subunit ZNF326 OS=Bos taurus OX=9913 GN=ZNF326 PE=3 SV=1;sp|F1MJM0|ZN326_BOVIN DBIRD complex subunit ZNF326 OS=Bos taurus OX=9913 GN=ZNF326 PE=2 SV=1,63.588,9724000,0,0,0,3650100,0,0,0,0,0,0,0,0,0,0,0
A2VE34;A3KN10;Q28165;A0A3Q1LT38;A0A3Q1M528,A2VE34;A3KN10;Q28165,3;3;3;1;1,tr|A2VE34|A2VE34_BOVIN PABPN1 protein OS=Bos taurus OX=9913 GN=PABPN1 PE=2 SV=1;tr|A3KN10|A3KN10_BOVIN PABPN1 protein OS=Bos taurus OX=9913 GN=PABPN1 PE=2 SV=1;sp|Q28165|PABP2_BOVIN Polyadenylate-binding protein 2 OS=Bos taurus OX=9913 GN=PABPN1 PE=1 SV=3,29.488,23219000,0,0,0,3650500,0,0,0,0,0,0,0,0,0,0,0
G5E600,G5E600,1,tr|G5E600|G5E600_BOVIN WASH complex subunit 4 OS=Bos taurus OX=9913 GN=WASHC4 PE=4 SV=2,136.37,3860200,0,0,0,3670400,0,0,0,0,0,0,0,0,0,0,0
F1MZT2,F1MZT2,1,tr|F1MZT2|F1MZT2_BOVIN Crooked neck pre-mRNA splicing factor 1 OS=Bos taurus OX=9913 GN=CRNKL1 PE=4 SV=3,83.679,9917200,0,0,0,3891700,0,0,0,0,0,0,0,0,0,0,0
Q5E9Y2,Q5E9Y2,2,sp|Q5E9Y2|STX17_BOVIN Syntaxin-17 OS=Bos taurus OX=9913 GN=STX17 PE=2 SV=1,33.559,14327000,0,0,0,3948800,0,0,0,0,0,0,0,0,0,0,0
E1BGF8,E1BGF8,1,tr|E1BGF8|E1BGF8_BOVIN Glycerol-3-phosphate acyltransferase 3 OS=Bos taurus OX=9913 GN=GPAT3 PE=3 SV=1,49.254,18695000,0,0,0,4021600,0,0,0,0,0,0,0,0,0,0,0
Q3SWX3,Q3SWX3,6,tr|Q3SWX3|Q3SWX3_BOVIN Aminopeptidase-like 1 OS=Bos taurus OX=9913 GN=NPEPL1 PE=2 SV=1,55.741,28125000,0,0,0,4215400,0,0,0,0,0,0,0,0,0,0,0
E1BKT9;A0A3Q1MR22,E1BKT9;A0A3Q1MR22,54;40,tr|E1BKT9|E1BKT9_BOVIN Desmoplakin OS=Bos taurus OX=9913 GN=DSP PE=1 SV=2;tr|A0A3Q1MR22|A0A3Q1MR22_BOVIN Desmoplakin OS=Bos taurus OX=9913 GN=DSP PE=1 SV=1,332.4,1268100000,0,500290000,473920000,4259100,0,0,9331600,0,0,22616000,0,10154000,0,0,0
Q2NKT2,Q2NKT2,1,sp|Q2NKT2|SOSSC_BOVIN SOSS complex subunit C OS=Bos taurus OX=9913 GN=INIP PE=3 SV=1,11.419,10133000,0,0,0,4354500,0,0,0,0,0,0,0,0,0,0,0
Q59A30;F1MYN8;A0A3Q1LLI0;A0A3Q1LQ03;A0A3Q1NG79;A0A3Q1LYV1,Q59A30;F1MYN8;A0A3Q1LLI0;A0A3Q1LQ03;A0A3Q1NG79;A0A3Q1LYV1,2;2;1;1;1;1,tr|Q59A30|Q59A30_BOVIN SON DNA-binding protein OS=Bos taurus OX=9913 GN=son PE=4 SV=1;tr|F1MYN8|F1MYN8_BOVIN SON DNA and RNA binding protein OS=Bos taurus OX=9913 GN=SON PE=4 SV=3;tr|A0A3Q1LLI0|A0A3Q1LLI0_BOVIN SON DNA and RNA binding protein OS=Bos taurus,231.11,4864800,0,0,0,4625600,0,0,0,0,0,0,0,0,0,0,0
P09487,P09487,1,"sp|P09487|PPBT_BOVIN Alkaline phosphatase, tissue-nonspecific isozyme OS=Bos taurus OX=9913 GN=ALPL PE=1 SV=2",57.192,4944400,0,0,0,4701400,0,0,0,0,0,0,0,0,0,0,0
F1MVX2,F1MVX2,4,sp|F1MVX2|LANC1_BOVIN Glutathione S-transferase LANCL1 OS=Bos taurus OX=9913 GN=LANCL1 PE=1 SV=2,45.308,11106000,0,0,0,4728400,0,0,0,0,0,0,0,0,0,0,0
A0A3Q1M5D7;Q17QE6,A0A3Q1M5D7;Q17QE6,2;2,tr|A0A3Q1M5D7|A0A3Q1M5D7_BOVIN NifU_N domain-containing protein OS=Bos taurus OX=9913 GN=LOC533308 PE=3 SV=1;tr|Q17QE6|Q17QE6_BOVIN Iron-sulfur cluster assembly enzyme OS=Bos taurus OX=9913 GN=ISCU PE=2 SV=1,17.421,5010100,0,0,0,4763800,0,0,0,0,0,0,0,0,0,0,0
E1B7Q0,E1B7Q0,1,tr|E1B7Q0|E1B7Q0_BOVIN Protein Hook homolog 3 OS=Bos taurus OX=9913 GN=HOOK3 PE=3 SV=1,83.145,18593000,0,0,0,4823000,0,0,0,0,0,0,0,0,0,0,0
A6QLH3,A6QLH3,1,tr|A6QLH3|A6QLH3_BOVIN STX3 protein OS=Bos taurus OX=9913 GN=STX3 PE=2 SV=1,33.211,20240000,0,0,0,4863100,0,0,0,0,0,0,0,0,0,0,0
E1BGG4,E1BGG4,1,tr|E1BGG4|E1BGG4_BOVIN Protein YIF1 OS=Bos taurus OX=9913 GN=YIF1B PE=3 SV=2,34.142,5131700,0,0,0,4879500,0,0,0,0,0,0,0,0,0,0,0
Q32LP2;A0A3Q1MS33;A6QQJ5,Q32LP2;A0A3Q1MS33,1;1;1,sp|Q32LP2|RADI_BOVIN Radixin OS=Bos taurus OX=9913 GN=RDX PE=2 SV=1;tr|A0A3Q1MS33|A0A3Q1MS33_BOVIN Radixin OS=Bos taurus OX=9913 GN=RDX PE=1 SV=1,68.567,11699000,0,0,0,4908600,0,0,0,0,0,0,0,0,0,0,0
A0A3Q1NH10;E1BIJ1;A0A3Q1M615,A0A3Q1NH10;E1BIJ1;A0A3Q1M615,1;1;1,tr|A0A3Q1NH10|A0A3Q1NH10_BOVIN DEP domain containing 7 OS=Bos taurus OX=9913 GN=DEPDC7 PE=4 SV=1;tr|E1BIJ1|E1BIJ1_BOVIN DEP domain containing 7 OS=Bos taurus OX=9913 GN=DEPDC7 PE=4 SV=3;tr|A0A3Q1M615|A0A3Q1M615_BOVIN DEP domain containing 7 OS=Bos taurus O,56.94,5236700,0,0,0,4979300,0,0,0,0,0,0,0,0,0,0,0
Q29RY7,Q29RY7,3,sp|Q29RY7|FGL2_BOVIN Fibroleukin OS=Bos taurus OX=9913 GN=FGL2 PE=2 SV=1,50.684,32323000,0,0,0,5020200,0,0,0,0,0,0,0,0,0,0,0
A2VDN8,A2VDN8,1,tr|A2VDN8|A2VDN8_BOVIN Coronin OS=Bos taurus OX=9913 GN=CORO1C PE=2 SV=1,53.125,32983000,0,0,0,5064800,0,0,0,0,0,0,0,0,0,0,0
Q0VCU1;F1MS05,Q0VCU1;F1MS05,1;1,sp|Q0VCU1|ACOHC_BOVIN Cytoplasmic aconitate hydratase OS=Bos taurus OX=9913 GN=ACO1 PE=2 SV=1;tr|F1MS05|F1MS05_BOVIN Citrate hydro-lyase OS=Bos taurus OX=9913 GN=ACO1 PE=3 SV=2,98.203,5378700,0,0,0,5114300,0,0,0,0,0,0,0,0,0,0,0
A0A3Q1MBW1;A2VDS0;A0A3Q1MRV7,A0A3Q1MBW1;A2VDS0;A0A3Q1MRV7,1;1;1,tr|A0A3Q1MBW1|A0A3Q1MBW1_BOVIN Phosphoribosyl pyrophosphate synthase-associated protein 2 OS=Bos taurus OX=9913 GN=PRPSAP2 PE=3 SV=1;sp|A2VDS0|KPRB_BOVIN Phosphoribosyl pyrophosphate synthase-associated protein 2 OS=Bos taurus OX=9913 GN=PRPSAP2 PE=2 SV=1;,39.437,16393000,0,0,0,5207100,0,0,0,0,0,0,0,0,0,0,0
Q2HJ55;A0A3Q1MMP2,Q2HJ55;A0A3Q1MMP2,2;2,sp|Q2HJ55|SAM50_BOVIN Sorting and assembly machinery component 50 homolog OS=Bos taurus OX=9913 GN=SAMM50 PE=2 SV=1;tr|A0A3Q1MMP2|A0A3Q1MMP2_BOVIN Sorting and assembly machinery component 50 homolog OS=Bos taurus OX=9913 GN=SAMM50 PE=3 SV=1,52.042,8951900,0,0,0,5219600,0,0,0,0,0,0,0,0,0,0,0
Q2TA30;A0A3Q1MQI5,Q2TA30;A0A3Q1MQI5,1;1,tr|Q2TA30|Q2TA30_BOVIN Ninjurin 1 OS=Bos taurus OX=9913 GN=NINJ1 PE=2 SV=1;tr|A0A3Q1MQI5|A0A3Q1MQI5_BOVIN Uncharacterized protein OS=Bos taurus OX=9913 PE=3 SV=1,16.464,14347000,0,0,0,5254100,0,0,0,0,0,0,0,0,0,0,0
A0A3Q1N747;F1N3G6;A0A3Q1LWW8,A0A3Q1N747;F1N3G6,3;2;1,tr|A0A3Q1N747|A0A3Q1N747_BOVIN Phospholipid-transporting ATPase OS=Bos taurus OX=9913 GN=LOC112441535 PE=3 SV=1;tr|F1N3G6|F1N3G6_BOVIN Phospholipid-transporting ATPase OS=Bos taurus OX=9913 GN=ATP11C PE=3 SV=3,106.15,18040000,0,0,0,5283400,0,0,0,0,0,0,0,0,0,0,0
E1B970,E1B970,3,tr|E1B970|E1B970_BOVIN Golgin A3 OS=Bos taurus OX=9913 GN=GOLGA3 PE=4 SV=1,167.46,23190000,0,0,0,5570000,0,0,0,0,0,0,0,0,0,0,0
A0A3Q1LT89;F1N7Q7;A0A3Q1NK70;A0A3Q1LZF7;A0A3Q1MPS8;A0A3Q1LLV2,A0A3Q1LT89;F1N7Q7;A0A3Q1NK70;A0A3Q1LZF7;A0A3Q1MPS8;A0A3Q1LLV2,1;1;1;1;1;1,tr|A0A3Q1LT89|A0A3Q1LT89_BOVIN Collagen alpha-2(IV) chain OS=Bos taurus OX=9913 GN=COL4A2 PE=4 SV=1;tr|F1N7Q7|F1N7Q7_BOVIN Collagen alpha-2(IV) chain OS=Bos taurus OX=9913 GN=COL4A2 PE=4 SV=3;tr|A0A3Q1NK70|A0A3Q1NK70_BOVIN Collagen alpha-2(IV) chain OS=Bos,147.58,29529000,0,0,0,5675000,0,0,0,0,0,0,0,0,0,0,0
A0A3Q1M5R8;Q3ZBU5;A0A3Q1MRK2,A0A3Q1M5R8;Q3ZBU5;A0A3Q1MRK2,3;3;2,tr|A0A3Q1M5R8|A0A3Q1M5R8_BOVIN RRM domain-containing protein OS=Bos taurus OX=9913 PE=4 SV=1;tr|Q3ZBU5|Q3ZBU5_BOVIN FUS interacting protein (Serine/arginine-rich) 1 OS=Bos taurus OX=9913 GN=SRSF10 PE=2 SV=1;tr|A0A3Q1MRK2|A0A3Q1MRK2_BOVIN Serine and arginin,24.353,33677000,0,0,0,5746600,0,0,0,0,0,0,0,0,0,0,0
E1BAK9,E1BAK9,1,tr|E1BAK9|E1BAK9_BOVIN RING-type E3 ubiquitin transferase OS=Bos taurus OX=9913 GN=SYVN1 PE=3 SV=2,67.098,18440000,0,0,0,5812400,0,0,0,0,0,0,0,0,0,0,0
Q0VCG7;F1N547,Q0VCG7;F1N547,3;3,"tr|Q0VCG7|Q0VCG7_BOVIN Centrin, EF-hand protein, 3 (CDC31 homolog, yeast) OS=Bos taurus OX=9913 GN=CETN3 PE=2 SV=1;tr|F1N547|F1N547_BOVIN Centrin 3 OS=Bos taurus OX=9913 GN=CETN3 PE=4 SV=1",19.591,16504000,0,0,0,6121500,0,0,0,0,0,0,0,0,0,0,0
Q95KV7,Q95KV7,1,sp|Q95KV7|NDUAD_BOVIN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 OS=Bos taurus OX=9913 GN=NDUFA13 PE=1 SV=3,16.673,18005000,0,0,0,6239900,0,0,0,0,0,0,0,0,0,0,0
Q3T134;G3MWQ7;A0A3Q1MNJ4;A0A3Q1MLX7,Q3T134;G3MWQ7;A0A3Q1MNJ4;A0A3Q1MLX7,1;1;1;1,sp|Q3T134|SPCS1_BOVIN Signal peptidase complex subunit 1 OS=Bos taurus OX=9913 GN=SPCS1 PE=3 SV=1;tr|G3MWQ7|G3MWQ7_BOVIN Microsomal signal peptidase 12 kDa subunit OS=Bos taurus OX=9913 GN=LOC781197 PE=3 SV=2;tr|A0A3Q1MNJ4|A0A3Q1MNJ4_BOVIN Microsomal signa,11.805,14812000,0,0,0,6244200,0,0,0,0,0,0,0,0,0,0,0
Q3MHQ6;F1N6N2,Q3MHQ6;F1N6N2,1;1,"tr|Q3MHQ6|Q3MHQ6_BOVIN G protein-coupled receptor, family C, group 5, member A OS=Bos taurus OX=9913 GN=GPRC5A PE=2 SV=1;tr|F1N6N2|F1N6N2_BOVIN G protein-coupled receptor class C group 5 member A OS=Bos taurus OX=9913 GN=GPRC5A PE=4 SV=2",39.916,15091000,0,0,0,6409500,0,0,0,0,0,0,0,0,0,0,0
G3N365;Q6IEF4;A7Z065;O97594,G3N365;Q6IEF4;A7Z065;O97594,3;3;3;3,tr|G3N365|G3N365_BOVIN Structural maintenance of chromosomes protein OS=Bos taurus OX=9913 GN=SMC3 PE=3 SV=2;tr|Q6IEF4|Q6IEF4_BOVIN Structural maintenance of chromosomes protein OS=Bos taurus OX=9913 GN=smc3 PE=2 SV=1;tr|A7Z065|A7Z065_BOVIN Structural main,137.04,21756000,0,0,0,6433000,0,0,0,0,0,0,0,0,0,0,0
A0A3Q1LT87;A0A3Q1LUG0;F1MQN0;V6F9B4,A0A3Q1LT87;A0A3Q1LUG0;F1MQN0;V6F9B4,3;3;3;3,tr|A0A3Q1LT87|A0A3Q1LT87_BOVIN Protein phosphatase 2 scaffold subunit Abeta OS=Bos taurus OX=9913 GN=PPP2R1B PE=4 SV=1;tr|A0A3Q1LUG0|A0A3Q1LUG0_BOVIN Protein phosphatase 2 scaffold subunit Abeta OS=Bos taurus OX=9913 GN=PPP2R1B PE=4 SV=1;tr|F1MQN0|F1MQN0_B,63.709,48337000,0,0,0,6453600,0,0,0,0,0,0,0,0,0,0,0
REV__A0A3Q1LKD6;REV__E1BIQ2,REV__A0A3Q1LKD6;REV__E1BIQ2,1;1,"tr|A0A3Q1LKD6|A0A3Q1LKD6_BOVIN ArfGAP with GTPase domain, ankyrin repeat and PH domain 2 OS=Bos taurus OX=9913 GN=AGAP2 PE=3 SV=1;tr|E1BIQ2|E1BIQ2_BOVIN ArfGAP with GTPase domain, ankyrin repeat and PH domain 2 OS=Bos taurus OX=9913 GN=AGAP2 PE=3 SV=2",121.9,29385000,0,0,0,6457400,0,0,0,0,0,0,0,0,0,0,0
A0A3Q1M409;E1B7Q7,A0A3Q1M409;E1B7Q7,1;1,tr|A0A3Q1M409|A0A3Q1M409_BOVIN E3 ubiquitin-protein ligase TRIP12 OS=Bos taurus OX=9913 GN=TRIP12 PE=3 SV=1;sp|E1B7Q7|TRIPC_BOVIN E3 ubiquitin-protein ligase TRIP12 OS=Bos taurus OX=9913 GN=TRIP12 PE=2 SV=2,217.59,16110000,0,0,0,6573300,0,0,0,0,0,0,0,0,0,0,0
A0A3Q1LMU9;Q56JZ5,A0A3Q1LMU9;Q56JZ5,2;2,tr|A0A3Q1LMU9|A0A3Q1LMU9_BOVIN Eukaryotic translation initiation factor 3 subunit H OS=Bos taurus OX=9913 GN=EIF3H PE=3 SV=1;sp|Q56JZ5|EIF3H_BOVIN Eukaryotic translation initiation factor 3 subunit H OS=Bos taurus OX=9913 GN=EIF3H PE=2 SV=1,37.138,9930100,0,0,0,6863300,0,0,0,0,0,0,0,0,0,0,0
Q3T0N2;F1MMK8,Q3T0N2;F1MMK8,6;6,tr|Q3T0N2|Q3T0N2_BOVIN Lysine--tRNA ligase OS=Bos taurus OX=9913 GN=KARS PE=2 SV=1;tr|F1MMK8|F1MMK8_BOVIN Lysine--tRNA ligase OS=Bos taurus OX=9913 GN=KARS1 PE=1 SV=2,71.32,107930000,0,0,0,7460000,24259000,0,0,0,13436000,0,0,0,0,0,0
A0A3Q1LWN6;A0A3Q1MG42;F1MYM9;A6QLN6,A0A3Q1LWN6;A0A3Q1MG42;F1MYM9;A6QLN6,2;2;2;2,tr|A0A3Q1LWN6|A0A3Q1LWN6_BOVIN Myosin heavy chain 11 OS=Bos taurus OX=9913 GN=MYH11 PE=1 SV=1;tr|A0A3Q1MG42|A0A3Q1MG42_BOVIN Myosin heavy chain 11 OS=Bos taurus OX=9913 GN=MYH11 PE=1 SV=1;tr|F1MYM9|F1MYM9_BOVIN Myosin heavy chain 11 OS=Bos taurus OX=9913 G,222.27,28998000,0,0,0,7600700,0,0,0,0,0,0,0,0,0,0,0
A0A3Q1MKV5;A0A3Q1MGN1;A0A3Q1M7D9;Q2TBT9;P11178;F1N5F2,A0A3Q1MKV5;A0A3Q1MGN1;A0A3Q1M7D9;Q2TBT9;P11178;F1N5F2,1;1;1;1;1;1,tr|A0A3Q1MKV5|A0A3Q1MKV5_BOVIN 2-oxoisovalerate dehydrogenase subunit alpha OS=Bos taurus OX=9913 GN=BCKDHA PE=3 SV=1;tr|A0A3Q1MGN1|A0A3Q1MGN1_BOVIN 2-oxoisovalerate dehydrogenase subunit alpha OS=Bos taurus OX=9913 GN=BCKDHA PE=3 SV=1;tr|A0A3Q1M7D9|A0A3Q1,47.405,15200000,0,0,0,7638200,0,0,0,0,0,0,0,0,0,0,0
F1MQ21;Q1MW22,F1MQ21,13;1,tr|F1MQ21|F1MQ21_BOVIN Nestin OS=Bos taurus OX=9913 GN=NES PE=3 SV=3,197.28,283390000,18088000,73969000,0,8014500,0,0,0,0,28500000,0,11024000,0,0,20908000,29983000
F6PZM2;Q5W1C4,F6PZM2;Q5W1C4,3;3,tr|F6PZM2|F6PZM2_BOVIN TNF alpha induced protein 6 OS=Bos taurus OX=9913 GN=TNFAIP6 PE=4 SV=1;tr|Q5W1C4|Q5W1C4_BOVIN TNF alpha induced protein 6 OS=Bos taurus OX=9913 GN=TNFAIP6 PE=2 SV=1,30.984,43810000,21161000,5587900,0,8080000,0,0,0,0,0,0,0,0,0,0,0
P81125;A5D7S0;A0A3Q1M6H3;F6Q334,P81125;A5D7S0;A0A3Q1M6H3;F6Q334,2;2;1;1,sp|P81125|SNAA_BOVIN Alpha-soluble NSF attachment protein OS=Bos taurus OX=9913 GN=NAPA PE=1 SV=1;tr|A5D7S0|A5D7S0_BOVIN NAPA protein OS=Bos taurus OX=9913 GN=NAPA PE=2 SV=1;tr|A0A3Q1M6H3|A0A3Q1M6H3_BOVIN Alpha-soluble NSF attachment protein OS=Bos taurus ,33.224,49151000,0,0,0,8200100,0,0,0,0,0,0,0,0,0,0,0
A0A3Q1MAJ0;Q58DA7;F1ML12,A0A3Q1MAJ0;Q58DA7;F1ML12,2;2;2,tr|A0A3Q1MAJ0|A0A3Q1MAJ0_BOVIN Glutaredoxin-3 OS=Bos taurus OX=9913 GN=GLRX3 PE=4 SV=1;sp|Q58DA7|GLRX3_BOVIN Glutaredoxin-3 OS=Bos taurus OX=9913 GN=GLRX3 PE=2 SV=1;tr|F1ML12|F1ML12_BOVIN Glutaredoxin-3 OS=Bos taurus OX=9913 GN=GLRX3 PE=4 SV=2,36.549,18569000,0,0,0,8776800,0,0,0,0,0,0,0,0,0,0,0
A0A3Q1MI08;A0A452DJH4;A7MB35;Q2T9Y3;Q9N1X8,A0A3Q1MI08;A0A452DJH4;A7MB35;Q2T9Y3,4;4;4;2;1,tr|A0A3Q1MI08|A0A3Q1MI08_BOVIN Pyruvate dehydrogenase E1 component subunit alpha OS=Bos taurus OX=9913 GN=PDHA1 PE=4 SV=1;tr|A0A452DJH4|A0A452DJH4_BOVIN Pyruvate dehydrogenase E1 component subunit alpha OS=Bos taurus OX=9913 GN=PDHA1 PE=4 SV=1;sp|A7MB35|OD,42.974,248310000,18020000,0,17684000,9026200,0,0,0,0,0,0,0,0,0,0,0
Q2NKY7,Q2NKY7,7,sp|Q2NKY7|SEPT2_BOVIN Septin-2 OS=Bos taurus OX=9913 GN=SEPTIN2 PE=2 SV=1,41.571,113320000,0,0,0,9173700,16642000,0,0,0,0,0,0,0,0,15135000,0
Q0II59,Q0II59,3,sp|Q0II59|PDXK_BOVIN Pyridoxal kinase OS=Bos taurus OX=9913 GN=PDXK PE=2 SV=1,34.817,19188000,0,0,0,9215400,0,0,0,0,0,0,0,0,0,0,0
A0A3Q1NJE9;Q17QL5,A0A3Q1NJE9;Q17QL5,1;1,tr|A0A3Q1NJE9|A0A3Q1NJE9_BOVIN Cell cycle control protein OS=Bos taurus OX=9913 GN=TMEM30A PE=3 SV=1;sp|Q17QL5|CC50A_BOVIN Cell cycle control protein 50A OS=Bos taurus OX=9913 GN=TMEM30A PE=1 SV=1,36.505,40872000,0,0,0,9265200,0,0,0,0,0,0,0,0,0,0,0
A0A3Q1M0H8;A4IFF4;A0A3Q1LK61;A0A3Q1LNM0;A0A3Q1MLN6;A0A3Q1MJ29;A0A3Q1MCM5;A0A3Q1LHD8;A0A3Q1LXB1;A0A3Q1LYH3;F1MNR5;A0A3Q1LZ53;A0A3Q1LNQ6,A0A3Q1M0H8;A4IFF4;A0A3Q1LK61;A0A3Q1LNM0;A0A3Q1MLN6,2;2;2;2;2;0;0;0;0;0;0;0;0,tr|A0A3Q1M0H8|A0A3Q1M0H8_BOVIN Ribosomal protein S6 kinase OS=Bos taurus OX=9913 GN=RPS6KA1 PE=3 SV=1;tr|A4IFF4|A4IFF4_BOVIN Ribosomal protein S6 kinase OS=Bos taurus OX=9913 GN=RPS6KA1 PE=2 SV=1;tr|A0A3Q1LK61|A0A3Q1LK61_BOVIN Ribosomal protein S6 kinase O,81.27,33946000,0,0,0,9525100,0,0,0,0,0,0,0,0,0,0,0
G5E5R3;O19094;Q32L71,G5E5R3;O19094;Q32L71,2;2;1,tr|G5E5R3|G5E5R3_BOVIN Peroxisomal carnitine O-octanoyltransferase OS=Bos taurus OX=9913 GN=CROT PE=1 SV=2;sp|O19094|OCTC_BOVIN Peroxisomal carnitine O-octanoyltransferase OS=Bos taurus OX=9913 GN=CROT PE=1 SV=1;tr|Q32L71|Q32L71_BOVIN CROT protein OS=Bos t,70.845,46079000,0,0,0,9568000,0,0,0,0,0,15959000,0,0,0,0,0
Q862B5;A6H7D7,Q862B5;A6H7D7,1;1,tr|Q862B5|Q862B5_BOVIN Similar to HSPC028 (Fragment) OS=Bos taurus OX=9913 PE=2 SV=1;tr|A6H7D7|A6H7D7_BOVIN BZW2 protein OS=Bos taurus OX=9913 GN=BZW2 PE=2 SV=1,18.617,38204000,16833000,0,0,9712200,0,0,0,0,0,0,0,0,0,0,0
F1MSA1;P45478;A0A3Q1LRE6,F1MSA1;P45478,5;5;1,tr|F1MSA1|F1MSA1_BOVIN Palmitoyl-protein hydrolase 1 OS=Bos taurus OX=9913 GN=PPT1 PE=3 SV=3;sp|P45478|PPT1_BOVIN Palmitoyl-protein thioesterase 1 OS=Bos taurus OX=9913 GN=PPT1 PE=1 SV=1,37.465,18773000,0,0,0,10060000,0,0,0,0,0,0,0,0,0,0,0
E1BCF2,E1BCF2,3,tr|E1BCF2|E1BCF2_BOVIN Cytokine receptor like factor 3 OS=Bos taurus OX=9913 GN=CRLF3 PE=4 SV=2,49.406,54692000,15838000,0,0,10313000,0,0,0,0,0,0,0,0,0,0,0
F1MYC9;A0A3Q1MXU7;A0A3Q1LUF1,F1MYC9;A0A3Q1MXU7;A0A3Q1LUF1,6;6;5,tr|F1MYC9|F1MYC9_BOVIN Spectrin beta chain OS=Bos taurus OX=9913 GN=SPTBN1 PE=1 SV=1;tr|A0A3Q1MXU7|A0A3Q1MXU7_BOVIN Spectrin beta chain OS=Bos taurus OX=9913 GN=SPTBN1 PE=1 SV=1;tr|A0A3Q1LUF1|A0A3Q1LUF1_BOVIN Spectrin beta chain OS=Bos taurus OX=9913 GN=SP,274.39,35619000,8725800,0,0,10556000,0,0,0,0,0,0,0,0,0,0,0
A0A3Q1M2B7;F1MBF0;A6QQS1;A0A3Q1LW11,A0A3Q1M2B7;F1MBF0;A6QQS1;A0A3Q1LW11,2;2;2;1,tr|A0A3Q1M2B7|A0A3Q1M2B7_BOVIN Eukaryotic translation initiation factor 2A OS=Bos taurus OX=9913 GN=EIF2A PE=1 SV=1;tr|F1MBF0|F1MBF0_BOVIN Eukaryotic translation initiation factor 2A OS=Bos taurus OX=9913 GN=EIF2A PE=1 SV=1;tr|A6QQS1|A6QQS1_BOVIN Eukaryoti,61.184,37365000,0,0,0,11023000,0,0,0,0,0,0,0,0,0,0,0
F1MWG7;A0A3Q1NE67,F1MWG7;A0A3Q1NE67,6;6,tr|F1MWG7|F1MWG7_BOVIN Tumor protein p53 binding protein 2 OS=Bos taurus OX=9913 GN=TP53BP2 PE=4 SV=3;tr|A0A3Q1NE67|A0A3Q1NE67_BOVIN Tumor protein p53 binding protein 2 OS=Bos taurus OX=9913 GN=TP53BP2 PE=4 SV=1,122.6,55651000,11589000,0,0,11279000,0,0,0,0,0,0,0,0,0,0,0
Q3ZC09;A0A452DI31;A0A3Q1M0V5;A0A3Q1LMT0,Q3ZC09;A0A452DI31;A0A3Q1M0V5;A0A3Q1LMT0,0;0;0;0,sp|Q3ZC09|ENOB_BOVIN Beta-enolase OS=Bos taurus OX=9913 GN=ENO3 PE=2 SV=1;tr|A0A452DI31|A0A452DI31_BOVIN 2-phospho-D-glycerate hydro-lyase OS=Bos taurus OX=9913 GN=ENO3 PE=1 SV=1;tr|A0A3Q1M0V5|A0A3Q1M0V5_BOVIN 2-phospho-D-glycerate hydro-lyase OS=Bos tauru,47.095,37169000,0,0,0,11348000,0,0,0,0,0,0,0,0,0,0,0
A4FUC6;A0A3Q1LQP2,A4FUC6;A0A3Q1LQP2,2;2,tr|A4FUC6|A4FUC6_BOVIN SFRS9 protein OS=Bos taurus OX=9913 GN=SRSF9 PE=2 SV=1;tr|A0A3Q1LQP2|A0A3Q1LQP2_BOVIN Uncharacterized protein OS=Bos taurus OX=9913 PE=4 SV=1,25.478,20760000,0,0,0,11478000,0,0,0,0,0,0,0,0,0,0,0
A0A3Q1LI18;A6QLT5;A1L505,A0A3Q1LI18;A6QLT5;A1L505,5;5;5,tr|A0A3Q1LI18|A0A3Q1LI18_BOVIN Ubiquitin associated protein 2 like OS=Bos taurus OX=9913 GN=UBAP2L PE=4 SV=1;tr|A6QLT5|A6QLT5_BOVIN UBAP2L protein OS=Bos taurus OX=9913 GN=UBAP2L PE=2 SV=1;tr|A1L505|A1L505_BOVIN Ubiquitin associated protein 2-like OS=Bos t,98.498,80021000,15627000,10091000,0,11787000,0,0,0,0,0,0,0,0,0,0,0
